android.view.accessibility.AccessibilityNodeInfo@80026fd8; boundsInParent: Rect(0, 0 - 1440, 2560); boundsInScreen: Rect(0, 0 - 1440, 2560); packageName: com.yelp.android; className: android.widget.FrameLayout; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@80027399; boundsInParent: Rect(0, 0 - 1440, 2308); boundsInScreen: Rect(0, 84 - 1440, 2392); packageName: com.yelp.android; className: android.widget.FrameLayout; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/bottomsheet; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@80036f1c; boundsInParent: Rect(0, 0 - 1440, 2308); boundsInScreen: Rect(0, 84 - 1440, 2392); packageName: com.yelp.android; className: android.support.v4.widget.DrawerLayout; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/drawer_layout; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@80027edc; boundsInParent: Rect(0, 0 - 1440, 2308); boundsInScreen: Rect(0, 84 - 1440, 2392); packageName: com.yelp.android; className: android.widget.RelativeLayout; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/content_wrapper; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@800372dd; boundsInParent: Rect(0, 0 - 196, 196); boundsInScreen: Rect(0, 84 - 196, 280); packageName: com.yelp.android; className: android.widget.ImageButton; text: null; error: null; maxTextLength: -1; contentDescription: Navigate up; viewIdResName: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8003769e; boundsInParent: Rect(0, 0 - 311, 93); boundsInScreen: Rect(210, 135 - 521, 228); packageName: com.yelp.android; className: android.widget.TextView; text: Wann Yen; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@80032047; boundsInParent: Rect(0, 0 - 168, 196); boundsInScreen: Rect(1132, 84 - 1300, 280); packageName: com.yelp.android; className: android.widget.TextView; text: null; error: null; maxTextLength: -1; contentDescription: Share; viewIdResName: com.yelp.android:id/share; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@80037a5f; boundsInParent: Rect(0, 0 - 140, 168); boundsInScreen: Rect(1300, 98 - 1440, 266); packageName: com.yelp.android; className: android.widget.ImageView; text: null; error: null; maxTextLength: -1; contentDescription: More options; viewIdResName: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@80026c17; boundsInParent: Rect(0, 0 - 1440, 1916); boundsInScreen: Rect(0, 280 - 1440, 2196); packageName: com.yelp.android; className: android.widget.ListView; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: android:id/list; checkable: false; checked: false; focusable: true; focused: true; selected: false; clickable: false; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: true; actions: [AccessibilityAction: ACTION_CLEAR_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SCROLL_FORWARD - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null, AccessibilityAction: ACTION_SCROLL_DOWN - null, AccessibilityAction: ACTION_SCROLL_TO_POSITION - null]
android.view.accessibility.AccessibilityNodeInfo@8002829d; boundsInParent: Rect(0, 0 - 1440, 1010); boundsInScreen: Rect(0, 280 - 1440, 1290); packageName: com.yelp.android; className: android.widget.RelativeLayout; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@80038d24; boundsInParent: Rect(0, 0 - 1440, 176); boundsInScreen: Rect(0, 315 - 1440, 491); packageName: com.yelp.android; className: android.support.v4.view.ViewPager; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/biz_alerts_pager; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
