android.view.accessibility.AccessibilityNodeInfo@8002a828; boundsInParent: Rect(0, 0 - 1440, 2560); boundsInScreen: Rect(0, 0 - 1440, 2560); packageName: com.yelp.android; className: android.widget.FrameLayout; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8002abe9; boundsInParent: Rect(0, 0 - 1440, 2308); boundsInScreen: Rect(0, 84 - 1440, 2392); packageName: com.yelp.android; className: android.widget.FrameLayout; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/bottomsheet; checkable: false; checked: false; focusable: true; focused: true; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_CLEAR_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8002beae; boundsInParent: Rect(0, 0 - 401, 122); boundsInScreen: Rect(53, 137 - 454, 259); packageName: com.yelp.android; className: android.widget.TextView; text: Wann Yen; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/business_name; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8002c26f; boundsInParent: Rect(0, 0 - 567, 122); boundsInScreen: Rect(53, 294 - 620, 416); packageName: com.yelp.android; className: android.widget.TextView; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/stars; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8002c630; boundsInParent: Rect(0, 0 - 1334, 1769); boundsInScreen: Rect(53, 451 - 1387, 2220); packageName: com.yelp.android; className: android.widget.EditText; text: Example: This is probably my favorite steakhouse in town. If you’re going to splurge, this is the place to do it. The service is prompt but gruff, though I’d argue that’s part of the rustic steakhouse feel. Our waiter, Tom, was able to give us some great guidance and was especially helpful for pairing beers with our steaks. Everything you’ve heard is 100% true and then some! Obviously the steak is the main event, and every time I go it’s top-notch — juicy and perfectly cooked. Don’t skip dessert! The housemade cheesecake is out-of-this-world good, so save room on your main course!; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/compose_edit_text; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SET_TEXT - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8002c9f1; boundsInParent: Rect(0, 0 - 189, 189); boundsInScreen: Rect(1251, 84 - 1440, 273); packageName: com.yelp.android; className: android.widget.ImageView; text: null; error: null; maxTextLength: -1; contentDescription: Close; viewIdResName: com.yelp.android:id/close_review; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: true; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8002cdb2; boundsInParent: Rect(0, 0 - 1440, 172); boundsInScreen: Rect(0, 2220 - 1440, 2392); packageName: com.yelp.android; className: android.widget.LinearLayout; text: null; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/header; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: true; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8002d173; boundsInParent: Rect(0, 0 - 84, 84); boundsInScreen: Rect(35, 2264 - 119, 2348); packageName: com.yelp.android; className: android.widget.ImageView; text: null; error: null; maxTextLength: -1; contentDescription: Open; viewIdResName: com.yelp.android:id/header_arrow; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8002d534; boundsInParent: Rect(0, 0 - 957, 66); boundsInScreen: Rect(137, 2273 - 1094, 2339); packageName: com.yelp.android; className: android.widget.TextView; text: See previous reviews below; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/header_message; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
android.view.accessibility.AccessibilityNodeInfo@8002d8f5; boundsInParent: Rect(0, 0 - 310, 136); boundsInScreen: Rect(1112, 2238 - 1422, 2374); packageName: com.yelp.android; className: android.widget.Button; text: CONTINUE; error: null; maxTextLength: -1; contentDescription: null; viewIdResName: com.yelp.android:id/continue_button; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]
